epoch,global_step,elapsed_s,loss_total,loss_mask,loss_link,loss_sub,sigma_mask,sigma_link,sigma_sub,alpha,lr,grad_norm,link_auc,sub_r2_clust,sub_r2_tri,eff_rank,visits
22,4400,135.0,-0.886061,0.073026,0.502402,0.216733,0.255312,0.700470,0.395229,0.676493,0.00088526,3.017088,0.893401,0.880724,0.886702,38.5594,"{""cora"": 4, ""citeseer"": 9, ""pubmed"": 21, ""ppi"": 26, ""facebook_ego"": 6, ""twitch_en"": 32, ""coauthor_cs"": 17, ""dblp_snap"": 61, ""power_grid"": 11, ""as733"": 13}"
23,4600,140.5,-0.877384,0.070590,0.508343,0.222478,0.250443,0.696714,0.392304,0.679606,0.00087506,3.014232,0.886512,0.878507,0.889160,35.3609,"{""cora"": 7, ""citeseer"": 3, ""pubmed"": 20, ""ppi"": 22, ""facebook_ego"": 4, ""twitch_en"": 38, ""coauthor_cs"": 16, ""dblp_snap"": 71, ""power_grid"": 10, ""as733"": 9}"
24,4800,146.3,-0.895888,0.074570,0.507471,0.205045,0.252098,0.702510,0.388657,0.681550,0.00086448,3.578782,0.886270,0.878636,0.893367,40.9424,"{""cora"": 3, ""citeseer"": 8, ""pubmed"": 16, ""ppi"": 30, ""facebook_ego"": 6, ""twitch_en"": 42, ""coauthor_cs"": 17, ""dblp_snap"": 61, ""power_grid"": 10, ""as733"": 7}"
25,5000,152.1,-0.904358,0.071069,0.502540,0.211542,0.250908,0.697084,0.386286,0.684368,0.00085355,2.972264,0.892104,0.881779,0.888679,36.8609,"{""cora"": 5, ""citeseer"": 11, ""pubmed"": 19, ""ppi"": 24, ""facebook_ego"": 5, ""twitch_en"": 42, ""coauthor_cs"": 16, ""dblp_snap"": 54, ""power_grid"": 11, ""as733"": 13}"
26,5200,158.3,-0.847030,0.074641,0.512581,0.218211,0.252032,0.705829,0.388833,0.686030,0.00084227,3.188044,0.879395,0.877148,0.880888,40.0874,"{""cora"": 5, ""citeseer"": 6, ""pubmed"": 11, ""ppi"": 27, ""facebook_ego"": 7, ""twitch_en"": 53, ""coauthor_cs"": 14, ""dblp_snap"": 66, ""power_grid"": 7, ""as733"": 4}"
27,5400,164.0,-0.743434,0.072950,0.508490,0.257420,0.249546,0.703554,0.400103,0.686928,0.00083066,3.140297,0.885165,0.879665,0.885731,40.2268,"{""cora"": 4, ""citeseer"": 5, ""pubmed"": 15, ""ppi"": 20, ""facebook_ego"": 6, ""twitch_en"": 44, ""coauthor_cs"": 14, ""dblp_snap"": 76, ""power_grid"": 6, ""as733"": 10}"
28,5600,169.4,-0.919711,0.070872,0.504466,0.209843,0.246976,0.701131,0.398700,0.689003,0.00081871,2.434474,0.890601,0.881521,0.887808,37.4757,"{""cora"": 8, ""citeseer"": 5, ""pubmed"": 19, ""ppi"": 26, ""facebook_ego"": 9, ""twitch_en"": 41, ""coauthor_cs"": 11, ""dblp_snap"": 65, ""power_grid"": 6, ""as733"": 10}"
29,5800,175.2,-0.902018,0.067427,0.504807,0.222898,0.245550,0.701360,0.396732,0.691515,0.00080645,3.029314,0.888698,0.881294,0.890459,37.3826,"{""cora"": 7, ""citeseer"": 9, ""pubmed"": 16, ""ppi"": 17, ""facebook_ego"": 5, ""twitch_en"": 57, ""coauthor_cs"": 20, ""dblp_snap"": 56, ""power_grid"": 8, ""as733"": 5}"
30,6000,181.7,-0.848318,0.073162,0.503643,0.224869,0.246801,0.696883,0.395203,0.691900,0.00079389,3.245622,0.889908,0.879823,0.892659,40.2827,"{""cora"": 7, ""citeseer"": 6, ""pubmed"": 18, ""ppi"": 24, ""facebook_ego"": 4, ""twitch_en"": 52, ""coauthor_cs"": 18, ""dblp_snap"": 61, ""power_grid"": 2, ""as733"": 8}"
31,6200,189.0,-0.774689,0.081546,0.498175,0.228536,0.249163,0.700179,0.396984,0.693946,0.00078104,2.551451,0.898122,0.883510,0.884857,39.6109,"{""cora"": 6, ""citeseer"": 6, ""pubmed"": 20, ""ppi"": 33, ""facebook_ego"": 6, ""twitch_en"": 31, ""coauthor_cs"": 16, ""dblp_snap"": 63, ""power_grid"": 9, ""as733"": 10}"
